id,name,description
7vRGphUOaEtbpc1DhPZWDK,Pengembangan Diri,"Welcome! Dalam podcast ini, kamu akan belajar berbagai hal tentang pengembangan diri, kehidupan, & karir. • Podcast ini saya buat untuk generasi muda Indonesia agar bertumbuh setiap harinya, serta untuk anak cucu saya kelak. • Kalau ada pertanyaan / kolaborasi, DM aja ke @selfdevpodcast ya! • Jangan lupa follow & nyalakan lonceng agar tidak ketinggalan episode barunya ya! • ""Never Stop Learning, Because Life Never Stop Teaching!"""
0ndAfvIdPqR9JkInxgTXLe,Ngakak semaunya bareng Stand Up Comedy Indonesia!,Managed by Medio Podcast by KG Media yang menyajikan tayangan komika favoritmu (senin-rabu-jumat) dari Stand Up Comedy Indonesia (SUCI) KompasTV.  Udah siap ketawa ngakak sama komika?  Let's make laugh! :))  Tonton Balada +62 Dwik dan Kukuh hanya di: https://tiptip.co/p/balada62  #WaktunyaSemaunya #NgakakSemaunya #KetawaTerus  MEDIO by KG Media  Playlist podcast by Medio di Spotify: https://link.tree/SiniarMedio Instagram: https://instagram.com/mediobykgmedia  Read about us on: https://kolom.kompas.com/Medio.KGMedia  Kerjasama Kuy! kirim ke podcast@kgmedia.id
0G6mGmKIBBwBfZeAk6QDSc,Belajar Menjadi Dewasa,Sebuah podcast yang mengantar kamu ke dunia pendewasaan. Kamu bisa komunikasi sama aku di belajardewasa65@gmail.com dan instagram @belajarmenjadidewasa_
2czkc27sQGLZd9ErHbUSe8,Podcast Sejarah Indonesia (POSEIDON),Podcast yang bikin kamu gagal move on. Email : podcastsejarah@gmail.com IG : www.instagram.com/podcast_sejarahindonesia/  Powered by Firstory Hosting
4gLJ97Smr64Z7xIa5v65gC,DESTAnya Siapa?,Obrolan Desta seputar pertanyaan-pertanyaan yang sering muncul di lingkungan sekitar. Dengerin biar gak salah jalan!
55PbWJYEtha9TflG1ACWGJ,Podcast Sejarah,Sebuah podcast yang akan menggali berbagai peristiwa dan sosok dari masa lalu. Dari yang kesannya remeh temeh sampai hal krusial yang menentukan hidup kita hari ini.
57SXR6IQvxslXtBC4CjZfQ,Podcast Cerita Lucu Orang-orang Indonesia,"Di sini ada podcast yang berisi tentang cerita pengalaman lucu dari orang-orang di Indonesia. Buat kalian yang punya cerita pengalaman lucu dan pengen seluruh penduduk bumi bisa denger cerita kalian,kalian bisa DM ke Instagram  @ceritalucuorang  Nanti ada nomor WA buat kirim rekaman ceritanya.  Jadikan dunia bergetar dengan tawa dari cerita pengalaman lucu kalian. Support this podcast: https://podcasters.spotify.com/pod/show/ceritalucu/support"
6OkTJT4ZJjPOzLuQUdEs4Y,Timothy Ronald Podcast,Dalam misi mengubah sistem edukasi di Indonesia
1iIFlumWtP4xI1QEzCBcSY,Satu Persen Podcast,"Satu Persen adalah Startup Life-school terbesar di Indonesia. Satu Persen Podcast berhasil meraih Top 10 Podcast di se-Indonesia di Spotify.   Melalui kurikulum Satu Persen, setiap topik terkini akan dibahas bersama founder, mentor, psikolog, dan juga pakar yang expert dalam bidangnya. So, don't miss out and stay tune.   For business inquiries: kiky@satupersen.net"
1Gjoi8gXw7PchKe0fgJJKR,Baca Buku Audiobook Indonesia,"Berawal dari sebuah artikel yang menyatakan betapa rendahnya tingkat membaca di Indonesia. Maka saya membangun channel yang khusus menyajikan audiobook dalam bahasa Indonesia. Tujuan saya adalah agar kita semua mendapatkan kemudahan dalam hal belajar dan meningkatkan pengetahuan.  Ada ratusan buku best seller yang pernah saya baca dan tersedia dalam bentuk audiobook. Anda akan menemukan buku audio dengan berbagai genre yang berbeda. Mulai dari buku-buku tentang filsafat, pengembangan diri, novel, ilmu pengetahuan, spiritualitas, dan lain sebagainya.  Donation link: https://saweria.co/bacabuku Support this podcast: https://podcasters.spotify.com/pod/show/gunt/support"
6KjdNWVqAzKwXv9IgO2SMs,Do You See What I See?,Kumpulan Cerita Horor Indonesia. Kurasi cerita oleh @mizter.popo. Follow & kirim pesan ke Instagram @podcasthoror.id untuk diskusi dan berbagi kisah / pengalaman horor kalian.
3OQC2vxWJwhTmHMfbezF37,CNN Indonesia,Selamat datang di Podcast CNN Indonesia! Di sini kalian akan mendengarkan banyak berita dari tayangan CNN Indonesia dalam bentuk podcast. Follow juga instagram kami di @cnnindonesia dan @cnnindonesiatv untuk update berita terbaru setiap harinya.
19pGwmkVknFOUTPNYpR4wT,Rumah Horor Indonesia (RHI),"Bagi saya cerita horor merupakan hiburan terlepas dari percaya atau tidak percaya, nyata atau hanya karangan saja. Semoga kalian juga bisa menikmati koleksi cerita-cerita di podcast Horor ini sebagai hiburan. Sekalipun hiburan, berani dengerin sendirian?  Kirimkan cerita horor kalian ke deny.ristanto1104@gmail.com  Dengerin podcast RHI di berbagai platform favoritmu https://open.firstory.me/user/rumah-horor-indonesia/platforms   Traktir saya kopi  di  https://trakteer.id/deny%20ristanto  https://saweria.co/denyristanto  https://sociabuzz.com/deninzo/tribe  Powered by Firstory Hosting"
7FevBPboXDSB4K90BJ54pA,Sleepy Stories: To help you sleep,"Hi, there, come and join us every Friday to read you sleepy stories from all around the world. Read in soft tones to help you drift off to sleep or aid you in feeling relaxed and tranquil. We will be reading folktales, fairy tales and all kind of stories from different countries and cultures.So, sit back, close your eyes, relax and enjoy.If you enjoy this podcast, please leave a rating and review on Apple so it can reach more people."
0H9OgzHgHVos0GNwz0wsHs,Lentera Malam (Podcast Horor),"Yo, klik lonceng notofikasinya yo :p || Buat kalian pecinta horor kalaian udah dateng ke podcast yang tepat. Kita akan menyajikan berbagai Cerita Mistis yang bakal di bawain oleh Narasumber langsung atau di bawain sama Host kita, Adhit dan Jamal. Jadi jangan lupa follow podcast ini dan follow juga instagram kita di @lenteramalam.id biar kita bisa lebih deket lagi sama kalian. Dan kalo kalian mau cerita horor yang paling update, bisa mampir ke YouTube Lentera Malam. Support this podcast: https://podcasters.spotify.com/pod/show/lentera-malam8/support"
4gf0RXE6Q3k0AYp1QkRKgh,Musuh Masyarakat (Noice Original),"""Unpopular opinion"", Menghadirkan orbolan dari perspektif yang bersebrangan dari suara mayoritas, mencari sisi baik dari kesalahan/kejahatan, mencari kekurangan dari tiap kebaikan bersama Tretan Muslim dan Coki Pardede ----------------------------------------------------------------- Klik link ini https://go.onelink.me/cyOg/youtube  untuk download aplikasi Noice sekarang. Gratis!  -----------------------------------------------------------------  Dengerin beragam konten audio seru, mulai dari Podcast, Audiobook, dan Radio."
1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,"Tiap Senin & Kamis! Wajib FOLLOW & NYALAIN Notifikasi-nya juga yaaa . Empat pria dengan banyak perbedaan dalam diri mereka, dari perbedaan waktu lahir, perbedaan pasangan hidup, perbedaan saldo rekening, dan juga perbedaan popularitas. Hanya satu yang sama dari mereka, mereka yakin Podcast ini PASTI LUCU DAN BERGELIMANG TAWA! . for business inquiries please contact : contact@podkesmas.asia"
0pmqbx6VfqWabnFps9RgEW,The Indah G Show,"Brought to you all the way from the Big Durian, join us on The Indah G Show as Indonesian internet personality Indah G explores all things taboo & controversial. From sociocultural commentaries to educational columns, research findings and review articles, we're hitting all of the burning hot-button-topics most relevant to modern Indonesian & Asian youth to uncover uncomfortable truths, challenge the status-quo, and inspire honest, thought-provoking conversations.   Available every Tuesday 6 PM WIB (Western Indonesian Time) For business inquiries, email guna1indah@gmail.com"
5vHokTsTmdlLBs1uPgDGN6,Rintik Sedu,a friend
23bKiXxQhr1xKS9fjHx6Gx,AGAK LAEN!,Ngomongin hal-hal yang agak laen di seputaran hidup kami berempat.   For business inquiries please contact: 0817-2306-695 (Adrian)
73WbebZ0SfLF21E2GKS8ek,Cerita Sejarah Islam,"Belajar dari kisah terbaik sepanjang masa. Kami membawakan cerita sejarah dengan gaya penyampaian terkini dan pengulikan materi dengan lebih dalam lagi. Dalam penyusunan naskah, kami menggunakan buku ""Kisah Para Nabi"" dan ""Tafsir Qur'an"" karya Ibnu Katsir sebagai rujukan utama.  -----  Yuk bantu kami untuk terus memberikan konten terbaik melalui donasi di sini: https://bit.ly/donasicsi  Temukan kami juga di : Youtube: https://www.youtube.com/@CeritaSejarahIslamPodcast Apple Podcast: https://podcasts.apple.com/id/podcast/cerita-sejarah-islam/id1532977407 Instagram: https://www.instagram.com/ceritasejarahislam/ Tiktok: https://www.tiktok.com/@ceritasejarahislam  Email: ceritasejarahislam@gmail.com  Powered by Firstory Hosting"
1zyOm0UDyjwWnE7ZwNykBt,GJLS ,"Sebelum Lanjut Dengerin, FOLLOW Dulu Dong, Nyalain LONCENG Pun Deh! . Podcast Rigen, Rispo dan Hifdzi membicarakan semua hal yang kita sukai dong! . Jikalau ingin ber IKLAN dong pun ah langsung saja hubungi contact@podkesmas.asia"
62eQWA1ramyPtwfMdn2QJE,podcast indonesia,buat podcast viral
1EYmQLqYuhzaBEvGlhtqEZ,MENDOAN,"Mendengarkan Dono dan Tian. Hanya sebuah podcast yang diadakan untuk tempat kami ngobrol, sudah. @donopradana @agustianprtama @podcastmendoan"
3xsUjAMx0QKfXLxAEgHF32,RJL 5,RJL 5 Podcast adalah podcast misteri yang akan memberikan informasi dan cerita dari narasumber terpercaya yang mengalami sendiri kejadian mistis maupun juru kunci cerita. Upload konten setiap Rabu & Jum'at untuk memenuhi asupan horror kamu semua!
5yrdpRPrqiEcjrptBwIUYL,Kita dan Waktu,"Di sini, semua tersimpan abadi via suara. Tentang kisah kita dan waktu yang berperan mendewasakan, kita tumbuh meski tak utuh. | Sebuah karya tulisan oleh @helobagas — selamat mendengarkan :)"
0JXOf1JMa4UVqFCXw2ZCgF,Rapot,"@rezachandika, @ankatama, @radhini_ dan @nastashabigail bukan geng nero, anti cuap sembrono. Obrolan hari-hari standar, sengaja direkam untuk disebar, wkwk. Bukan bermaksud mistis, tapi #BagiRapot setiap hari Kamis."
2uUzEzgKAAmwrbNAspmKjh,Besok Pagi (Podcast Pendakian Horor),Kumpulan Cerita Horor Pendakian Gunung
25Grawr1aHpXqsbSBIR0CY,KH Anwar Zahid (PODCAST),KAJIAN ILMU AGAMA Support this podcast: https://podcasters.spotify.com/pod/show/kh-anwar-zahid6/support
5M3mfPOJQKBILzoYUrxC7Q,Podcast Horror Night Story,Berbagi Kisah Seram Untuk Kalian.   PODCAST HORROR NIGHT STORY Twitter : https://twitter.com/chow_mas Instagram: https://www.instagram.com/podcast_nighstory/  Selamat Malam Semuanya. Saya Chow Sing Sing Host dari Podcast Horror Night Story. Podcast Seram yang akan tayang setiap malam. Kirim cerita atau pengalaman seram kamu untuk didengarkan di Podcast ini melalui Email komunitasarwah@gmail.com atau bisa juga DM di instagram @podcast_nighstory. Dan jangan lupa Follow Twitter saya @chow_mas. Selamat Mendengarkan.   Support this podcast: firstory.me  Powered by Firstory Hosting
6srNn7W2aEAI8DZCDGCKEE,Podcast Awal Minggu,"Merupakan podcast dari Adriano Qalbi, dengan durasi kurang lebih 1 jam, yang akan diluncurkan pada awal minggu sesuai dengan namanya. Jika ingin bertanya dan lain-lainya kirim ke podcastawalminggu@gmail.com"
6EmSBAixLaU1CwSu6gyujz,Podcast Raditya Dika,"Podcast milik Raditya Dika dengan tema obrolan tentang keuangan, keluarga, industri kreatif, dan hal-hal di antaranya. Episode baru seminggu sekali."
7prgp80n4pd49sZ3j9per6,Teman Tidur,@podcast.temantidur dengan segudang cerita yang mengantarkan kamu ke dunia mimpi. Oleh @derafirmansyah | www.temantidur.id
1edWM5ohQiAuWqGp622A0D,Podcast Malam Kliwon,Podcast bergenre fun-horror yang digawangi oleh Bimoky dan Dhanu. Membawa anda masuk ke dalam theater of mind dan pengalaman baru dalam mendengarkan cerita horor. Bergidik dan menggelitik. Hii.
7GbuJMHrlrs33f797W1ns9,Impact Community Indonesia Podcast,Impact Community Indonesia Podcast berisi kumpulan khotbah-khotbah Ps. Henny Kristianus dan Ps. Yoanes Kristianus di Impact Community Indonesia.  Selamat mendengarkan dan bertumbuh bersama.  Tuhan Yesus memberkati.
5Y4JTcUmxTcHYaYiqxsKtz,PODCAST ANCUR ,"Mengudara tiap Senin, Rabu, dan Jum’at | Podcast dengan konsep “tongkrongan” yang seru dan harusnya lucu banget. Harusnya ya. InsyaAllah aja dehh. Dan juga kadang podcast ini berisikan curhatan-curhatan hati netizen dan hostnya (colongan). Tapi apakah kami akan memberikan solusi?? Tentu tidak ❤️#PodcastAncur #ANdaCURhat | Instagram: @podcastancur | CP : +62 812 84015289 |"
3sdRGJPHkxlMv7JdfbwlOA,Podcast Balbalan,"Ngomongno balbalan teko kabeh penjuru, mulai liga Indonesia sampek dunia. Diomongno bareng cak ho Support this podcast: https://podcasters.spotify.com/pod/show/podcast-balbalan/support"
3B5gGhRJEHnIeeDUt5jud4,Gema Membiru ,"Mungkin kita akan bertemu dengan banyak gema yang bersahutan dengan isi kepala. Juga, cerita-cerita yang membiru dimakan waktu.  Business inquiries: gema.membiru@gmail.com"
6himx89vE1Y42vwtHBR9ly,Murottal Qur'an Terjemahan Audio Indonesia,"بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيم Bismillahirrahmanirrahim (Dengan menyebut Nama Allah, Yang Maha Pengasih, lagi Maha Penyayang)"
68zYvH3xzkEChAROSiAH18,VOA This Morning Podcast - Voice of America | Bahasa Indonesia,"VOA This Morning menghadirkan serangkaian berita dan peristiwa terkini dari berbagai belahan dunia. Bersama tim VOA, VOA This Morning hadir setiap Senin hingga Jumat, dengan informasi yang akurat dan terpercaya, yang mendekatkan pada dunia."
0Cevwz2ekakJUPlm0lNzFm,Wayang Indonesia,Wayang Indonesia adalah warisan dunia.  Support this podcast: https://podcasters.spotify.com/pod/show/Wayangbudaya/support
21E0sms1VBNVb7irBwgMzW,Podcast Dakwah Sunnah,"Ikuti kajian, dakwah, dan ajaran Islam yang sesuai dengan Alquran, Nabi Muhammad Sallallahu Alayhi Wasallam, serta diikuti oleh Tabi’in dan Tabi’ut atabi’in. Dapatkan wawasan keislaman yang mendalam dari para Ustadz bermanhaj Salaf di Indonesia. Kumpulan tersebut dapat diakses dan didownload melalui website: www.podcastdakwahsunnah.com. Jangan lewatkan kesempatan untuk memperkaya pengetahuan agama Islam. Semoga bermanfaat bagi kita semua. Aamiin."
2RXY5kEKWQobky1Y2dSUyF,Podcast Seminggu,Awwe & Pican. Sangat menginspirasi.  For business inquiries please contact: contact@podkesmas.asia
