name,description,url,cover_image
Podcast Buku Kutu,"EPISODE BARU SETIAP SENIN, RABU, dan JUMAT -- Podcast spesial untuk kalian para pecinta buku. Berisi review buku dari genre apapun, yang pastinya menarik untuk dibaca. Pertanyaan atau saran buku untuk direview, silakan email ke podcastbukukutu@gmail.com  Powered by Podluck Podcast",https://open.spotify.com/show/3w5zKrbQ6kgB0RKI7lt1d4,https://i.scdn.co/image/ab6765630000ba8a04fa1ae983d41de8691bc674
The GenreVerse Podcast Network by LRM Online,"The GenreVerse Podcast Network is THE place for geek and pop-culture podcasts, reactions, and reviews. Whether you're into Anime, Star Wars, Marvel, or other geeky things, we've got you covered: The Daily COG and Breaking Geek Radio (BGR) bring you news and opinions on EVERYTHING in entertainment. However, we've got shows dedicated to the aforementioned topics with Anime-Versal Reviews, The Cantina, and Marvel Multiverse Mayhem. Basically... YOU'RE HOME!!! The GenreVerse is brought to you by LRMonline.com, the choice for millions of fans as THE source for entertainment news. ",https://open.spotify.com/show/084cvmiweF4j7gAcN1KN8Q,https://i.scdn.co/image/ab6765630000ba8a99b9981d7070765ecb0e0019
Let’s talk about that: World Technology ,We talk about the latest technology developments in game development in the world right now. If you're interested in this genre podcast please listen in and have a good day! Social Media Instagram:https://www.instagram.com/letstalkabout_podcasts/ Twitter:https://twitter.com/AmmonJensen5 Facebook:https://www.facebook.com/Lets-Talk-About-It-World-Technology-Podcasts-111693974013080 Website:https://sites.google.com/view/letstalkaboutitworldtechnology/social-media?authuser=4,https://open.spotify.com/show/1AfR8iyIpirL0U50yQ6FiG,https://i.scdn.co/image/9ecc42e6d72db64a82b7777195d546701ca606af
The Genre Hustle,"Welcome to Genre Hustle, your virtual Sci-fi and Fantasy Writing Group. We talk about craft, tropes, publishing, making money by writing, and more. If you’re a writer or reader of speculative fiction, join the conversation and learn with us!",https://open.spotify.com/show/5G1Dcp7lHJXIFoPlWbZcRg,https://i.scdn.co/image/ab6765630000ba8a8b1aabf187cf42273313a6a4
The Genrelist,"Welcome to The Genrelist, a 10-part series that explores podcasting at the intersection of listener love and advertising power. Hosted by Nidia Serrano, Vice President of Sales Marketing at SiriusXM, journey through the top podcasting genres and the communities that fuel them.",https://open.spotify.com/show/6vmwUo93azY0EgdIl8hXSH,https://i.scdn.co/image/ab6765630000ba8a674010fae91acdc3fda8228d
The Genrelist,"Welcome to The Genrelist, a 10-part series that explores podcasting at the intersection of listener love and advertising power. Hosted by Nidia Serrano, Vice President of Sales Marketing at SiriusXM, journey through the top podcasting genres and the communities that fuel them.",https://open.spotify.com/show/02rKAQUYrTrAFE61HYXFzH,https://i.scdn.co/image/ab6765630000ba8ab471a9389c3761ac67056560
The Genrelist,"Welcome to The Genrelist, a 10-part series that explores podcasting at the intersection of listener love and advertising power. Hosted by Nidia Serrano, Vice President of Sales Marketing at SiriusXM, journey through the top podcasting genres and the communities that fuel them.",https://open.spotify.com/show/01LAXgwm58xSTZIXanicr7,https://i.scdn.co/image/ab6765630000ba8ad8f38e3e1eb390ed313c8eae
From On High Music and Information Science and Technology History Religion Social Politics Human Ori,All music genre music business and social politics spirituality and religion historical content and the upliftment of black people and humanity overall.,https://open.spotify.com/show/5EVz9SlL4GF0Hq2bOIJLWs,https://i.scdn.co/image/e4ffb12a1025c381a94e6d527456ccef680444da
Technology Thoughts with David and Payton,"I simply don’t care... about professionalism or editing, or even genre and themes, it’s just a random podcast with random episodes",https://open.spotify.com/show/1if19FqdqaKsgfGEEF1fQo,https://i.scdn.co/image/6910bfaf213b486d261022d5eb9581a759c94438
No Limitations,"A series regarded amongst the most inspiring and honest conversations with elite world class performing men and women across a broad genre covering the issues, opportunities and challenges confronting them.  Gregory Robinson, Managing Partner at Blenheim Partners Executive Search and Board Advisory firm discovers the influences that have shaped their destinies, unlocking crucial insights into each guests core character, their motivation, broader thinking, strategies and approach they have taken to succeed.  In a thought provoking show that breaks with the status quo, the guests and ""first among equals"", reveal their secrets, triumphs and disappointments with rare personal insight and learnings that you may wish to adopt in today's rapidly changing and competitive global landscape.",https://open.spotify.com/show/1RWY32nHSXxQ7FcD4MdIDo,https://i.scdn.co/image/ab6765630000ba8a866e4e3882b4e43f6d0da724
