ID,Name,Description,Publisher,Total Episodes,Spotify URL,Cover Image
1fjbG3xiPG4hqk5wgt1uJt,Faire genre,"Une fois par mois, la journaliste Laurène Daycard convie un·e chercheur·euse parmi les plus pointu·e·s sur les questions de genre : philosophes, sociologues, anthropologues, littéraires et politistes… pour apprendre, douter aussi parfois, et surtout mieux penser en profondeur la société.Crédits Un podcast de Binge audio et de L’Institut du genre. Préparé et animé par Laurène Daycard et réalisé par Thomas Plé. Production : Soraya Kerchaoui-Matignon, Albane Fily et Camille Khodor. Composition musicale : Alexandre Delmaere. Identité graphique : Upian. Hébergé par Acast. Visitez acast.com/privacy pour plus d'informations.",Binge Audio / L'Institut du genre,9,https://open.spotify.com/show/1fjbG3xiPG4hqk5wgt1uJt,https://i.scdn.co/image/ab6765630000ba8a361398353d8eb257196888a6
4NKXRArtdThJuS3pKUgPU7,Navbharat Gold – Hindi Podcast | Hindi Audio Infotainment | Hindi Audio News,"Navbharat Gold from the house of BCCL (Times Group), is a first of a kind Hindi Podcast Infotainment Service in the world, offering an unmatched range and quality of content across multiple genres such as Hindi audio news, current affairs, science, audio-documentaries, sports, economy, history, spirituality, art and literature, life lessons, relationships and much more.   To listen to a much wider range of such exclusive Hindi podcasts, visit us at www.navbharatgold.com",Navbharat Times,1794,https://open.spotify.com/show/4NKXRArtdThJuS3pKUgPU7,https://i.scdn.co/image/ab6765630000ba8a844017aca984561d05af7719
1kAEXha2s3fves9gxdREgI,Institut du Genre en Géopolitique ,"Retrouvez toute l'actualité du genre dans le domaine des relations internationales avec Alice Apostoly et Déborah Rouach, à travers des épisodes thématiques et des entretiens axés sur l’examen de la condition des femmes, les discriminations subies par les communautés LGBTI+, les normes de féminités et de masculinités ou les rapports de genre.",Institut du Genre en Géopolitique,12,https://open.spotify.com/show/1kAEXha2s3fves9gxdREgI,https://i.scdn.co/image/ab6765630000ba8ab2c272e8a0a8a3e0ccaac566
3VuTppA0OBnXzrfv2QUyYK,SYFY WIRE News,"Get the latest news from the worlds of science fiction, fantasy & horror with SYFY WIRE’s daily news briefing. SYFY WIRE features news and original reporting about movies, TV, games, comics, books, genre figures, fandom and more.",SYFY WIRE,611,https://open.spotify.com/show/3VuTppA0OBnXzrfv2QUyYK,https://i.scdn.co/image/c2faf33541aa0e776fb1f2bf39eb8bfc56b2df79
0fujWP8g0Fra70GCQHM1ZG,WFPK Music News,"Your daily dose of music news from WFPK and Louisville Public Media.  You love music, but it’s hard to keep up with your favorite artists, let alone ones you’ve yet to discover. This is WFPK Music News, a daily update focused on rock, alternative, R&B and underserved genres. Hosts Mel Fisher and Otis Junior track down the most interesting music news. All you have to do is spend a minute with us each weekday to stay informed!",Louisville Public Media,30,https://open.spotify.com/show/0fujWP8g0Fra70GCQHM1ZG,https://i.scdn.co/image/e0334a26842fc4e2516545f7d09aa87046fc7ee0
1yfBaiX5SbykYXDhL2jmSU,Antigone.News,"Antigone.News est un média alternatif écolo, féministe qui traite des conflits de tout genre.  Hébergé par Acast. Visitez acast.com/privacy pour plus d'informations.",Emma Bevivino,5,https://open.spotify.com/show/1yfBaiX5SbykYXDhL2jmSU,https://i.scdn.co/image/ab6765630000ba8a626784fbd30820707734215e
7KZdfkGS5NC0fGJjl1plLW,Genre(s) en Afrique centrale,Agir ensemble pour les droits humains,Genre(s) en Afrique centrale,7,https://open.spotify.com/show/7KZdfkGS5NC0fGJjl1plLW,https://i.scdn.co/image/ab6765630000ba8ac4c9280eb35f04740206c90d
6RgvmA54LePbV4qJlPINsZ,Dream Diary,"In 2004, someone releases a weird video game... then disappears. Over the years the game will spawn a passionate fan base, inspire a new genre, and change lives. For more than a decade, fans will search to no avail for its enigmatic creator. Until the start of 2018, when something happens...",Lewis Denby,7,https://open.spotify.com/show/6RgvmA54LePbV4qJlPINsZ,https://i.scdn.co/image/ab6765630000ba8a7be45fc8cd149b9579659838
6BV1hFv7VVj3KfKC3GwtHR,En tout genre ,:),Elisa Vallé,1,https://open.spotify.com/show/6BV1hFv7VVj3KfKC3GwtHR,https://i.scdn.co/image/ab6765630000ba8a4f09ccee803519e86eaf1d72
5GfGThJ213h0wKp9yiJt4x,The Conditional Release Program,"Welcome to The Conditional Release Program, a podcast that delves into the netherworld of cults, crims and con artists.Who would have thought a spicy chest cough would turn everyone so completely mad?Our weekly show covers the conspiracy theorists that created a 'shadow pandemic' of political idiocy and violent ideation within the fringe of politics. From time to time we get our hands even dirtier with true crime deep dives. Jack is a seasoned expert in the true crime genre, having written and spoken extensively about Roger Rogerson, Stan 'the man' Smith and, of course, the Fine Cotton Fiasco. In various episodes he guides us through the dark underbelly of Australian crime in his trademark storytelling style. The world is getting weird and we are getting weird with it. Let's watch as democracy crumbles into a smouldering heap - and take note of the kids carrying the matches and the metho. Hosted by Jack the Insider and Joel Hill with an occasional rotation of guests that generally share our distaste toward the lunatic fringe.",Jack the Insider and Joel Hill,336,https://open.spotify.com/show/5GfGThJ213h0wKp9yiJt4x,https://i.scdn.co/image/ab6765630000ba8aa522a1b43860142c5a96f8a4
